id,submitdate,in_post,Klasse_codiert,MBGs,KRS,Gruppe,TPB_Mean,AT_Mean,AT1,AT2_invert,AT3,AT4,SN_Mean,SN1,SN2,SN3,INT_Mean,INT1,INT2,INT3,PBC_Mean,PBC1,PBC2,B_Mean,B1,B2,B5,B6,B7,B8_invert,B9_invert,B10,fehlend,AT2,B3,B4,B8,B9,B3_invert,B4_invert,filter_$,ü25,datestamp,PrimaryFirst
42,2023-02-07T11:41:30Z,0,10,0,0,0,2.35,3,3,3,3,3,2,3,1,2,2,2,3,1,2.5,2,3,2.25,3,3,2,3,3,2,1,1,0,0,3,3,1,2,0,0,0,0,2023-02-07T11:41:30Z,1
43,2023-02-07T11:49:44Z,1,10,1,1,2,1.6666666666666667,2,2,3,2,1,1,1,0,2,1.6666666666666667,1,2,2,2,2,2,1.6666666666666667,0,NA,1,3,2,2,2,NA,3,0,NA,1,1,1,NA,2,1,0,2023-02-07T11:49:44Z,1
45,2023-02-07T11:46:51Z,0,10,1,1,2,1.5666666666666667,1.75,2,3,2,0,1.3333333333333333,0,2,2,2,2,2,NA,2,2,2,0.75,0,1,0,1,0,2,1,1,1,0,2,1,1,2,1,2,1,0,2023-02-07T11:46:51Z,1
46,2023-02-07T11:49:20Z,1,9,0,0,0,1.775,2,2,2,2,2,1.6666666666666667,2,1,2,1.3333333333333333,1,2,1,2,2,2,1.875,0,3,0,2,1,3,3,3,0,1,0,0,0,0,3,3,0,0,2023-02-07T11:49:20Z,1
49,2023-02-07T11:51:44Z,1,7,0,1,2,1.85,2.75,2,3,3,3,1,2,1,0,1.6666666666666667,1,3,1,2,2,2,1.8333333333333333,1,NA,NA,3,2,2,3,0,3,0,NA,0,1,0,NA,3,1,0,2023-02-07T11:51:44Z,1
50,2023-02-07T11:50:16Z,0,10,0,0,0,1.0333333333333334,1.5,0,3,2,1,1.6666666666666667,1,2,2,1,1,1,1,0.5,0,1,0.5,0,0,2,0,0,2,0,0,0,0,1,2,1,3,2,1,0,0,2023-02-07T11:50:16Z,1
51,2023-02-07T11:51:17Z,1,7,0,0,0,2.0476190476190474,3,NA,3,3,3,0.6666666666666666,1,1,0,2,NA,2,2,2,1,3,2.5714285714285716,3,3,2,3,1,3,3,NA,4,0,2,NA,0,0,1,NA,0,0,2023-02-07T11:51:17Z,1
52,2023-02-07T11:39:49Z,1,10,0,0,0,1.7833333333333337,1.75,2,2,2,1,1,1,1,1,1.6666666666666667,1,2,2,2.5,2,3,2,1,1,2,3,3,2,2,2,0,1,2,3,1,1,1,0,0,0,2023-02-07T11:39:49Z,1
54,2023-02-07T11:47:25Z,1,9,0,0,0,1.4916666666666667,2,1,3,2,2,0.6666666666666666,1,1,0,1.6666666666666667,1,2,2,1.5,1,2,1.625,0,2,1,2,2,3,3,0,0,0,0,2,0,0,3,1,0,0,2023-02-07T11:47:25Z,1
55,2023-02-07T11:41:26Z,1,9,0,0,0,1.9833333333333332,2,2,2,2,2,0.6666666666666666,1,0,1,2,2,3,1,3,3,3,2.25,3,2,2,3,1,3,3,1,0,1,2,1,0,0,1,2,0,0,2023-02-07T11:41:26Z,1
56,2023-02-07T11:49:35Z,1,9,0,0,0,1.9357142857142857,2.25,2,3,2,2,1.3333333333333333,2,1,1,1.6666666666666667,1,3,1,2,2,2,2.4285714285714284,3,2,1,3,3,3,2,NA,1,0,2,2,0,1,1,1,0,0,2023-02-07T11:49:35Z,1
58,2023-02-07T11:41:38Z,0,10,0,0,0,1.8666666666666667,3,3,3,3,NA,1.6666666666666667,2,1,2,1.5,1,2,NA,1.5,1,2,1.6666666666666667,2,1,NA,3,1,1,2,NA,4,0,2,3,2,1,1,0,0,0,2023-02-07T11:41:38Z,1
59,2023-02-07T11:47:35Z,0,10,0,0,0,1.7833333333333337,1.75,2,2,2,1,1,1,1,1,1.6666666666666667,2,2,1,2,2,2,2.5,3,2,NA,3,3,2,2,NA,2,1,1,3,1,1,2,0,0,0,2023-02-07T11:47:35Z,1
60,2023-02-07T11:50:42Z,1,10,0,0,0,1.8714285714285714,2.5,3,3,2,2,1.3333333333333333,1,2,1,1.6666666666666667,1,3,1,2,2,2,1.8571428571428572,2,1,0,3,3,2,2,NA,1,0,1,2,1,1,2,1,0,0,2023-02-07T11:50:42Z,1
63,2023-02-07T11:43:20Z,0,10,0,0,0,0.9333333333333332,1.5,2,1,3,0,1.3333333333333333,1,1,2,0.5,0,1,NA,0.5,1,0,0.8333333333333334,0,NA,NA,2,0,0,3,0,4,2,NA,0,3,0,NA,3,0,0,2023-02-07T11:43:20Z,1
64,2023-02-07T11:49:45Z,1,10,0,1,2,2.657142857142857,3,3,3,3,3,2.3333333333333335,2,2,3,2.6666666666666665,3,3,2,3,3,3,2.2857142857142856,2,3,2,3,2,NA,2,2,1,0,1,2,NA,1,2,1,1,0,2023-02-07T11:49:45Z,1
65,2023-02-07T11:50:35Z,1,7,0,0,0,1.3916666666666666,1.5,2,2,2,0,1.3333333333333333,1,2,1,1,1,1,1,1.5,2,1,1.625,0,0,2,3,3,1,3,1,0,1,1,3,2,0,2,0,0,0,2023-02-07T11:50:35Z,1
66,2023-02-07T11:44:42Z,1,10,1,0,1,1.8,2,2,2,2,2,1,1,1,1,2,2,3,1,1.5,2,1,2.5,1,3,NA,3,3,2,3,NA,2,1,2,2,1,0,1,1,0,0,2023-02-07T11:44:42Z,1
67,2023-02-07T11:51:24Z,0,9,0,0,0,1.8,2.3333333333333335,2,3,2,NA,0.6666666666666666,0,1,1,1.5,1,2,NA,2.5,3,2,2,1,1,NA,3,3,2,2,NA,4,0,1,2,1,1,2,1,0,0,2023-02-07T11:51:24Z,1
68,2023-02-07T11:43:12Z,1,10,0,1,2,2.216666666666667,2.5,3,3,2,2,1,1,1,1,2.3333333333333335,2,3,2,3,3,3,2.25,0,2,2,3,3,3,3,2,0,0,3,2,0,0,0,1,1,0,2023-02-07T11:43:12Z,1
69,2023-02-07T11:42:00Z,1,10,0,0,0,1.4333333333333331,1.5,2,0,2,2,1.3333333333333333,1,1,2,1.3333333333333333,2,1,1,1.5,2,1,1.5,0,3,1,2,1,2,2,1,0,3,2,1,1,1,1,2,0,0,2023-02-07T11:42:00Z,1
70,2023-02-07T11:50:50Z,1,10,0,0,0,1.9,2.25,1,3,3,2,2,2,2,2,2,2,3,1,1.5,1,2,1.75,0,2,2,3,3,2,2,0,0,0,3,2,1,1,0,1,0,0,2023-02-07T11:50:50Z,1
72,2023-02-07T11:42:46Z,1,10,0,0,0,2.1523809523809523,2,3,0,3,2,2,3,2,1,1.3333333333333333,2,2,0,3,3,3,2.4285714285714284,2,1,NA,3,2,3,3,3,1,3,2,1,0,0,1,2,0,0,2023-02-07T11:42:46Z,1
73,2023-02-07T11:50:17Z,1,10,0,0,0,0.925,1.5,2,2,2,0,0,0,0,0,1,1,2,0,1.5,1,2,0.625,0,1,0,2,0,1,1,0,0,1,2,2,2,2,1,1,0,0,2023-02-07T11:50:17Z,1
75,2023-02-07T11:41:27Z,1,10,0,1,2,2.176190476190476,3,3,3,3,3,1.3333333333333333,2,2,0,1.3333333333333333,1,2,1,2.5,2,3,2.7142857142857144,3,3,NA,3,1,3,3,3,1,0,0,3,0,0,3,0,1,0,2023-02-07T11:41:27Z,1
76,2023-02-07T11:45:54Z,1,10,0,0,0,2.169047619047619,2.25,2,3,2,2,1.3333333333333333,3,1,0,2.3333333333333335,2,3,2,2.5,3,2,2.4285714285714284,3,3,1,3,1,3,3,NA,2,0,2,NA,0,0,1,NA,0,0,2023-02-07T11:45:54Z,1
77,2023-02-07T11:47:01Z,0,10,0,0,0,1.3166666666666669,1.75,2,3,2,0,0.3333333333333333,1,0,0,1,1,1,1,2,2,2,1.5,0,2,0,3,1,2,3,1,0,0,1,2,1,0,2,1,0,0,2023-02-07T11:47:01Z,1
80,2023-02-07T11:53:06Z,1,9,1,0,1,2.35,3,3,3,3,3,1.6666666666666667,2,2,1,2.3333333333333335,3,2,2,3,3,3,1.75,2,3,1,3,2,1,1,1,0,0,0,1,2,2,3,2,0,0,2023-02-07T11:53:06Z,1
82,2023-02-07T11:46:21Z,0,10,0,0,0,1.6476190476190478,2,2,3,2,1,0.3333333333333333,1,0,0,2.3333333333333335,2,3,2,2,2,2,1.5714285714285714,3,2,0,2,0,3,1,NA,1,0,3,3,0,2,0,0,0,0,2023-02-07T11:46:21Z,1
87,2023-02-07T11:50:51Z,0,10,0,1,2,2.4,3,3,3,3,3,1.6666666666666667,2,1,2,2.3333333333333335,2,3,2,2.5,3,2,2.5,3,2,2,3,1,3,3,3,0,0,2,2,0,0,1,1,1,0,2023-02-07T11:50:51Z,1
92,2023-02-07T11:59:19Z,1,7,0,1,2,1.8083333333333331,1.75,2,0,3,2,1,2,0,1,2.6666666666666665,2,3,3,2,2,2,1.625,1,3,2,3,2,0,2,0,0,3,2,1,3,1,1,2,1,0,2023-02-07T11:59:19Z,1
95,2023-04-23T12:15:08Z,1,9,1,0,1,2.0166666666666666,2.75,3,3,3,2,1,2,0,1,2.3333333333333335,2,3,2,2,2,2,2,2,2,1,3,3,2,1,NA,2,0,1,NA,1,2,2,NA,0,0,2023-04-23T12:15:08Z,1
97,2023-04-23T13:04:25Z,1,5,1,0,1,1.95,3,3,3,3,3,1.3333333333333333,2,1,1,1.6666666666666667,1,2,2,2,1,3,1.75,3,2,2,2,2,2,0,1,0,0,2,2,1,3,1,1,0,0,2023-04-23T13:04:25Z,1
110,2023-04-24T14:10:37Z,1,9,1,1,2,1.661904761904762,2,2,2,2,2,1,1,1,1,1.6666666666666667,1,2,2,1.5,1,2,2.142857142857143,3,2,NA,2,2,2,2,2,1,1,2,2,1,1,1,1,1,0,2023-04-24T14:10:37Z,1
112,2023-04-24T15:44:43Z,0,9,1,1,2,2.275,3,3,3,3,3,2,2,NA,NA,2,2,2,2,2,2,2,2.375,3,2,2,2,3,3,2,2,2,0,2,2,0,1,1,1,1,0,2023-04-24T15:44:43Z,1
114,2023-04-24T16:28:53Z,1,6,1,0,1,2.1976190476190474,2.25,3,3,3,0,1.5,1,2,NA,2.6666666666666665,3,3,2,3,3,3,1.5714285714285714,1,1,NA,2,1,3,3,0,3,0,NA,0,0,0,NA,3,0,0,2023-04-24T16:28:53Z,1
117,2023-04-24T18:15:09Z,0,11,1,1,2,1.5333333333333332,2,2,2,2,2,1.3333333333333333,2,1,1,1.3333333333333333,1,2,1,1.5,2,1,1.5,1,1,1,1,2,2,2,2,0,1,2,1,1,1,1,2,1,0,2023-04-24T18:15:09Z,1
119,2023-04-24T19:03:14Z,0,8,1,0,1,1.2333333333333334,1.6666666666666667,2,NA,3,0,1,2,1,0,0,0,0,0,1.5,1,2,2,0,2,3,3,1,2,3,NA,3,NA,1,1,1,0,2,2,0,0,2023-04-24T19:03:14Z,1
120,2023-04-24T19:22:49Z,1,6,1,0,1,2.1,2.75,3,3,3,2,2,2,1,3,2,2,2,2,2,2,2,1.75,2,1,2,2,2,2,2,1,0,0,2,1,1,1,1,2,0,0,2023-04-24T19:22:49Z,1
121,2023-04-24T19:26:28Z,1,9,1,0,1,2.511904761904762,2.75,3,3,2,3,2.3333333333333335,3,1,3,2.3333333333333335,2,3,2,3,3,3,2.142857142857143,2,2,NA,3,1,2,2,3,1,0,2,2,1,1,1,1,0,0,2023-04-24T19:26:28Z,1
122,2023-04-24T20:12:21Z,1,5,1,0,1,1.9,2.5,2,3,3,2,0.6666666666666666,2,0,0,1.3333333333333333,1,2,1,2.5,2,3,2.5,2,2,NA,3,2,3,3,NA,2,0,3,3,0,0,0,0,0,0,2023-04-24T20:12:21Z,1
124,2023-04-24T19:59:06Z,0,8,1,0,1,2.4857142857142858,3,3,3,3,NA,2,3,1,NA,2.5,NA,3,2,2.5,2,3,2.4285714285714284,3,1,NA,3,2,3,3,2,4,0,0,1,0,0,3,2,0,0,2023-04-24T19:59:06Z,1
128,2023-04-24T20:58:00Z,1,9,1,1,2,1.6357142857142857,1.25,2,1,2,0,0.5,1,NA,0,2,1,3,NA,2,2,2,2.4285714285714284,1,3,3,3,3,2,2,NA,4,2,NA,3,1,1,NA,0,1,0,2023-04-24T20:58:00Z,1
132,2023-04-24T21:52:45Z,1,5,1,0,1,1.8333333333333335,2.5,2,3,3,2,1,2,1,0,1.6666666666666667,1,2,2,2,2,2,2,2,2,NA,2,2,2,2,2,2,0,1,NA,1,1,2,NA,0,0,2023-04-24T21:52:45Z,1
133,2023-04-24T21:49:25Z,1,9,1,0,1,1.6083333333333336,2.25,2,3,2,2,1,1,1,1,1.6666666666666667,2,2,1,1.5,2,1,1.625,1,3,1,2,0,3,2,1,0,0,2,2,0,1,1,1,0,0,2023-04-24T21:49:25Z,1
134,2023-04-24T22:26:28Z,0,8,1,1,2,1.7583333333333333,2.25,2,3,2,2,0.6666666666666666,1,1,0,2,2,2,2,2,2,2,1.875,1,1,2,2,2,3,3,1,0,0,0,2,0,0,3,1,1,0,2023-04-24T22:26:28Z,1
137,2023-04-25T07:34:58Z,1,6,1,1,2,2.206666666666667,3,3,3,3,3,0.3333333333333333,1,0,0,3,3,3,3,2.5,2,3,2.2,3,NA,NA,2,0,3,3,NA,3,0,3,3,0,0,0,0,1,0,2023-04-25T07:34:58Z,1
138,2023-04-25T07:25:40Z,0,8,1,1,2,1.0583333333333331,2,1,3,3,1,1.3333333333333333,1,0,3,0.3333333333333333,0,1,0,0.5,0,1,1.125,0,1,1,1,1,2,3,0,0,0,1,2,1,0,2,1,1,0,2023-04-25T07:25:40Z,1
139,2023-04-25T07:31:25Z,1,10,1,1,2,2.1,2,3,0,3,2,2.3333333333333335,3,1,3,2,2,3,1,2,2,2,2.1666666666666665,2,2,NA,2,1,3,3,NA,3,3,NA,3,0,0,NA,0,1,0,2023-04-25T07:31:25Z,1
141,2023-04-25T07:38:19Z,1,5,1,0,1,2.325,2.3333333333333335,1,3,NA,3,0.6666666666666666,1,1,0,3,3,3,3,3,3,3,2.625,3,3,3,3,3,2,3,1,1,0,3,3,1,0,0,0,0,0,2023-04-25T07:38:19Z,1
143,2023-04-25T07:51:42Z,1,6,1,0,1,1.3666666666666667,2.3333333333333335,3,NA,3,1,0.3333333333333333,0,1,0,1.6666666666666667,0,3,2,1,1,1,1.5,0,NA,NA,3,1,2,2,1,4,NA,1,0,1,1,2,3,0,0,2023-04-25T07:51:42Z,1
145,2023-04-25T07:43:22Z,0,5,1,0,1,0.5333333333333333,1.3333333333333333,NA,2,2,0,0,0,0,0,0,0,NA,0,0.5,0,1,0.8333333333333334,0,1,NA,1,0,2,1,NA,4,1,0,3,1,2,3,0,0,0,2023-04-25T07:43:22Z,1
146,2023-04-25T07:43:41Z,1,5,1,0,1,2.423809523809523,2.6666666666666665,2,3,3,NA,1.5,2,1,NA,2.6666666666666665,3,3,2,3,3,3,2.2857142857142856,NA,3,2,3,2,3,3,0,3,0,0,3,0,0,3,0,0,0,2023-04-25T07:43:41Z,1
147,2023-04-25T07:41:24Z,1,7,1,1,2,1.6333333333333335,2.3333333333333335,1,3,3,NA,0.6666666666666666,1,1,0,1.6666666666666667,1,2,2,1.5,1,2,2,0,2,3,3,2,3,2,1,1,0,3,3,0,1,0,0,1,0,2023-04-25T07:41:24Z,1
149,2023-04-25T07:43:51Z,0,10,1,0,1,1.775,2.75,3,3,3,2,2,2,2,2,1,0,2,1,2,2,2,1.125,2,1,0,2,0,3,1,0,0,0,2,0,0,2,1,3,0,0,2023-04-25T07:43:51Z,1
153,2023-04-25T07:42:33Z,0,10,1,0,1,2.1785714285714284,2.25,2,2,3,2,2,3,1,2,2,2,2,2,2.5,2,3,2.142857142857143,1,2,NA,3,2,3,3,1,1,1,3,2,0,0,0,1,0,0,2023-04-25T07:42:33Z,1
154,2023-04-25T07:53:36Z,1,5,1,0,1,1.9,3,3,3,3,NA,0.3333333333333333,1,0,0,1.3333333333333333,1,2,1,2.5,2,3,2.3333333333333335,2,1,NA,3,2,3,3,NA,3,0,2,1,0,0,1,2,0,0,2023-04-25T07:53:36Z,1
156,2023-04-25T07:47:17Z,0,6,1,0,1,2.1166666666666667,1.5,2,1,1,2,1.6666666666666667,3,0,2,2.6666666666666665,2,3,3,2.5,2,3,2.25,2,1,2,3,2,3,3,2,1,2,NA,3,0,0,NA,0,0,0,2023-04-25T07:47:17Z,1
157,2023-04-25T07:44:52Z,1,5,1,0,1,1.6,2.25,3,1,3,2,0,0,0,0,2,2,2,2,2,2,2,1.75,2,2,2,2,2,1,1,2,0,2,2,2,2,2,1,1,0,0,2023-04-25T07:44:51Z,1
158,2023-04-25T07:55:34Z,1,5,1,0,1,1.6547619047619047,1.75,1,3,2,1,1,2,1,0,1.6666666666666667,1,2,2,2,NA,2,1.8571428571428572,0,2,0,3,2,3,3,NA,2,0,0,3,0,0,3,0,0,0,2023-04-25T07:55:34Z,1
162,2023-04-25T08:00:09Z,1,5,1,0,1,1.0666666666666669,2,NA,NA,2,2,0.3333333333333333,1,0,0,1,1,1,1,1,1,1,1,0,NA,1,1,1,1,2,NA,5,NA,1,2,2,1,2,1,0,0,2023-04-25T08:00:09Z,1
