id,submitdate,KL_codiert,MBGs,KRS,Gruppe,TPB_Mean,AT_Mean,AT1,AT2_invert,AT3,AT4,SN_Mean,SN1,SN2,SN3,INT_Mean,INT1,INT2,INT3,PBC_Mean,PBC1,PBC2,B_Mean,B1,B2,B5,B6,B7,B8_invert,B9_invert,B10,interviewtime,Zeit,Zeit_min,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,KL,fehlend,AT2,B3,B4,B8,B9,B3_invert,B4_invert,filter_$
44,2023-05-09T09:37:29Z,6,1,0,1,1.52,2.5,2,3,3,2,0.6666666666666666,0,1,1,1.3333333333333333,1,2,1,1.5,1,2,1.6,0,NA,NA,3,1,2,2,NA,12:54:24,774.4,12.906666666666666,PRB4,PRB7,PRB2,PRB6,PRB5,PRB3,PRB1,A2,4,0,NA,2,1,1,NA,1,0
46,2023-05-09T09:36:52Z,5,1,0,1,1.575,2.5,3,3,3,1,1,1,2,0,1,1,1,1,1.5,1,2,1.875,0,2,1,3,2,3,3,1,11:48:04,708.0666666666667,11.801111111111112,PRB2,PRB5,PRB4,PRB7,PRB1,PRB6,PRB3,A1,0,0,0,2,0,0,3,1,0
80,2023-05-09T10:46:00Z,9,1,0,1,1.7,2.25,2,3,2,2,1.6666666666666667,2,2,1,1.3333333333333333,2,2,0,1.5,2,1,1.75,1,3,0,2,1,2,3,2,07:35:42,455.7,7.595,PRB2,PRB1,PRB4,PRB5,PRB6,PRB3,PRB7,A5,0,0,2,2,1,0,1,1,1
39,2023-05-09T09:29:58Z,5,1,0,1,1.8,2,2,2,2,NA,0,NA,0,0,2,2,2,NA,2,2,2,3,3,3,3,3,3,3,3,3,08:45:29,525.4833333333333,8.758055555555556,PRB2,PRB5,PRB6,PRB4,PRB1,PRB7,PRB3,A1,3,1,0,3,0,0,3,0,0
53,2023-05-09T10:00:46Z,10,1,0,1,1.8333333333333335,2.75,3,3,3,2,1,2,1,0,1.6666666666666667,2,2,1,2,2,2,1.75,0,3,1,2,0,3,3,2,06:31:45,391.75,6.529166666666667,PRB4,PRB3,PRB2,PRB6,PRB1,PRB7,PRB5,A6,0,0,2,0,0,0,1,3,1
77,2023-05-09T10:45:51Z,9,1,0,1,1.85,2.75,3,3,3,2,1.3333333333333333,2,1,1,1.6666666666666667,1,2,2,1.5,1,2,2,2,1,1,3,2,2,3,NA,07:52:36,472.6,7.876666666666667,PRB2,PRB6,PRB4,PRB5,PRB7,PRB3,PRB1,A5,1,0,2,3,1,0,1,0,1
36,2023-05-09T09:31:00Z,6,1,0,1,1.86,2.5,3,3,3,1,1,1,1,1,2,2,2,2,2,2,2,1.8,2,NA,NA,2,1,2,2,NA,10:12:19,612.3166666666667,10.205277777777779,PRB4,PRB5,PRB2,PRB6,PRB1,PRB7,PRB3,A2,3,0,1,2,1,1,2,1,0
32,2023-05-09T09:26:59Z,5,1,0,1,1.8833333333333335,2.75,3,3,3,2,1.5,2,1,NA,1.6666666666666667,1,2,2,2,2,2,1.5,3,1,NA,3,1,1,0,NA,09:21:23,561.3833333333333,9.356388888888889,PRB4,PRB1,PRB2,PRB3,PRB6,PRB5,PRB7,A1,3,0,2,2,2,3,1,1,0
37,2023-05-09T09:30:56Z,6,1,0,1,1.95,2.75,3,3,3,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,NA,2,3,2,2,1,10:03:02,603.0333333333333,10.050555555555555,PRB4,PRB2,PRB7,PRB3,PRB5,PRB6,PRB1,A2,1,0,2,2,1,1,1,1,0
86,2023-05-09T10:56:32Z,5,1,0,1,1.9666666666666668,2.5,2,3,3,2,0.3333333333333333,1,0,0,1.6666666666666667,1,3,1,2.5,2,3,2.8333333333333335,3,2,NA,3,3,3,3,NA,09:20:52,560.8666666666667,9.347777777777777,PRB4,PRB7,PRB6,PRB1,PRB2,PRB3,PRB5,A1,2,0,3,3,0,0,0,0,0
87,2023-05-09T11:09:03Z,5,1,0,1,1.9666666666666668,3,3,3,3,NA,0.5,1,0,NA,2.5,2,3,NA,1.5,0,3,2.3333333333333335,2,2,NA,2,2,3,3,NA,17:16:37,1036.6166666666666,17.276944444444442,PRB4,PRB2,PRB1,PRB5,PRB6,PRB3,PRB7,A1,5,0,1,0,0,0,2,3,0
38,2023-05-09T09:29:58Z,5,1,0,1,2,1.75,2,1,1,3,0.6666666666666666,1,1,0,2.3333333333333335,2,3,2,2.5,3,2,2.75,3,3,3,3,3,2,3,2,08:49:16,529.2666666666667,8.821111111111112,PRB4,PRB1,PRB6,PRB5,PRB2,PRB3,PRB7,A1,0,2,3,3,1,0,0,0,0
88,2023-05-09T11:03:47Z,10,1,0,1,2.0404761904761903,2.25,2,2,3,2,1.6666666666666667,2,1,2,2,2,2,2,2,2,2,2.2857142857142856,1,2,NA,3,3,3,2,2,05:26:34,326.56666666666666,5.442777777777778,PRB2,PRB5,PRB4,PRB6,PRB3,PRB1,PRB7,A6,1,1,2,2,0,1,1,1,1
89,2023-05-09T11:08:44Z,10,1,0,1,2.080952380952381,2.5,2,3,3,2,1.6666666666666667,1,2,2,1.6666666666666667,2,2,1,2,2,2,2.5714285714285716,1,3,NA,3,3,3,3,2,10:10:27,610.45,10.174166666666668,PRB2,PRB4,PRB6,PRB5,PRB1,PRB7,PRB3,A6,1,0,3,3,0,0,0,0,1
82,2023-05-09T10:48:09Z,9,1,0,1,2.1476190476190475,3,3,3,3,3,1,1,1,1,2.6666666666666665,2,3,3,1.5,2,1,2.5714285714285716,2,3,NA,3,3,2,3,2,06:00:03,360.05,6.0008333333333335,PRB2,PRB4,PRB1,PRB5,PRB6,PRB3,PRB7,A5,1,0,3,0,1,0,0,3,1
