id,datestamp,L,KL,GymReal,MBGs,KRS,Gruppe,TPB_Mean,MITTELWERT,AT_Mean,AT1,AT2_invert,AT3,AT4,SN_Mean,SN1,SN2,SN3,INT_Mean,INT1,INT2,INT3,PBC_Mean,PBC1,PBC2,B_Mean,B1,B2,B4_invert,B5,B6,B7,B8_invert,B9_invert,B10,PROB1_codiert,PROB2_codiert,PROB3_codiert,PROB4_codiert,PROB5_codiert,PROB6_codiert,PROB7_codiert,AT2,B3,B4,B8,B9,interviewtime,Zeit,Zeit_min,PROB1,PROB2,PROB3,PROB4,PROB5,PROB6,PROB7,filter_$,ü25,PrePost,B3_invert
115,2023-05-10T08:17:55Z,0,10,1,0,0,0,1.933333333,1.954545455,2.5,2,3,3,2,2,2,2,2,1.666666667,1,2,2,1.5,0,3,2,3,2,1,2,2,2,2,2,2,6,7,3,4,2,5,1,0,2,2,1,1,05:45:29,345.4833333,5.758055556,PRB6,PRB7,PRB3,PRB4,PRB2,PRB5,PRB1,0,0,1,1
149,2023-05-10T08:24:20Z,0,10,1,1,1,2,2.525,2.368421053,2.75,3,3,3,2,2,3,1,NA,2.5,2,3,NA,3,3,3,2.375,3,2,2,3,3,2,2,2,NA,2,1,4,5,6,3,7,0,3,1,1,1,05:50:37,350.6166667,5.843611111,PRB2,PRB1,PRB4,PRB5,PRB6,PRB3,PRB7,0,3,1,0
140,2023-05-10T08:24:30Z,0,10,1,0,0,0,2.522222222,2.454545455,2.5,2,3,2,3,2.333333333,3,3,1,2.333333333,2,3,2,3,3,3,2.444444444,3,3,2,2,3,3,3,3,0,6,4,5,2,3,7,1,0,1,1,0,0,06:04:17,364.2833333,6.071388889,PRB6,PRB4,PRB5,PRB2,PRB3,PRB7,PRB1,0,0,1,2
133,2023-05-10T08:24:17Z,0,10,1,0,1,2,1.394444444,1.363636364,1.75,2,2,2,1,0.666666667,1,0,1,1.333333333,1,2,1,2,2,2,1.222222222,1,2,1,1,1,0,1,3,1,1,6,2,5,7,4,3,1,1,2,2,0,06:11:07,371.1166667,6.185277778,PRB1,PRB6,PRB2,PRB5,PRB7,PRB4,PRB3,0,0,1,2
137,2023-05-10T08:24:03Z,0,10,1,0,0,0,0.372222222,0.454545455,0.25,0,0,1,0,0.333333333,1,0,0,0.333333333,0,1,0,0.5,1,0,0.444444444,0,1,0,1,2,0,0,0,0,5,7,3,1,6,2,4,3,1,3,3,3,06:20:25,380.4166667,6.340277778,PRB5,PRB7,PRB3,PRB1,PRB6,PRB2,PRB4,0,0,1,2
158,2023-05-10T08:32:32Z,0,10,1,0,0,0,2.133333333,2.19047619,2.75,3,3,3,2,1,2,1,0,2.666666667,3,3,2,2,2,2,2.25,3,2,1,3,3,2,2,2,NA,4,6,2,3,7,5,1,0,1,2,1,1,06:23:43,383.7166667,6.395277778,PRB4,PRB6,PRB2,PRB3,PRB7,PRB5,PRB1,0,1,1,2
154,2023-05-10T08:32:33Z,0,10,1,0,0,0,2.095238095,2.157894737,3,3,3,3,3,1,2,1,0,2.333333333,2,3,2,2,2,2,2.142857143,2,NA,1,NA,3,2,2,2,3,4,5,3,2,6,7,1,0,NA,2,1,1,06:26:41,386.6833333,6.444722222,PRB4,PRB5,PRB3,PRB2,PRB6,PRB7,PRB1,0,3,1,NA
167,2023-05-10T08:32:52Z,0,10,1,0,0,0,2.261111111,2.090909091,2.75,3,3,3,2,2,3,1,2,1.666666667,2,1,2,3,3,3,1.888888889,1,2,0,2,3,1,3,3,2,1,4,2,5,3,6,7,0,2,3,0,0,06:37:16,397.2666667,6.621111111,PRB1,PRB4,PRB2,PRB5,PRB3,PRB6,PRB7,0,0,1,1
194,2023-05-15T19:06:09Z,0,7,2,1,0,1,2.272222222,2.318181818,2.75,3,3,3,2,0.666666667,2,0,0,2.666666667,2,3,3,2.5,2,3,2.777777778,3,3,1,3,3,3,3,3,3,4,2,5,6,3,7,1,0,3,2,0,0,06:37:21,397.35,6.6225,PRB4,PRB2,PRB5,PRB6,PRB3,PRB7,PRB1,1,0,1,0
186,2023-05-15T11:12:40Z,0,11,1,1,0,1,1.444444444,1.55,2.333333333,2,3,2,NA,0,0,0,0,1,1,NA,1,2,2,2,1.888888889,3,1,2,2,3,1,2,3,0,4,2,1,5,6,7,3,0,2,1,1,0,06:45:36,405.6,6.76,PRB4,PRB2,PRB1,PRB5,PRB6,PRB7,PRB3,1,2,1,1
76,2023-05-10T08:27:25Z,0,8,2,1,0,1,1.205555556,1.318181818,1.25,1,2,2,0,1.333333333,1,2,1,1,0,1,2,1,2,0,1.444444444,1,2,0,2,2,2,2,1,1,4,1,2,6,3,7,5,1,1,3,1,2,06:52:55,412.9166667,6.881944444,PRB4,PRB1,PRB2,PRB6,PRB3,PRB7,PRB5,1,0,1,2
175,2023-05-10T10:02:55Z,0,9,2,1,0,1,1.676190476,1.7,2.5,3,3,3,1,1.333333333,2,2,0,1.333333333,1,2,1,1.5,1,2,1.714285714,2,1,2,NA,2,0,2,3,NA,2,5,1,3,4,6,7,0,2,1,1,0,06:52:55,412.9166667,6.881944444,PRB2,PRB5,PRB1,PRB3,PRB4,PRB6,PRB7,1,2,1,1
164,2023-05-10T08:33:07Z,0,10,1,0,0,0,1.822222222,1.772727273,2.5,2,3,3,2,1.666666667,0,2,3,1,0,2,1,2.5,2,3,1.444444444,0,1,0,2,2,3,2,3,0,1,7,3,6,5,2,4,0,0,3,1,0,06:54:12,414.2,6.903333333,PRB1,PRB7,PRB3,PRB6,PRB5,PRB2,PRB4,0,0,0,3
147,2023-05-10T08:25:24Z,0,10,1,0,1,2,2.225,2.421052632,3,3,3,3,3,1.5,2,1,NA,2,2,2,2,2,2,2,2.625,3,2,2,2,3,3,3,3,NA,2,4,5,6,3,1,7,0,NA,1,0,0,07:04:13,424.2166667,7.070277778,PRB2,PRB4,PRB5,PRB6,PRB3,PRB1,PRB7,0,3,1,NA
190,2023-05-15T15:30:51Z,0,10,1,1,1,2,2.483333333,2.409090909,2.75,3,3,3,2,2,3,2,1,2.333333333,3,2,2,3,3,3,2.333333333,2,1,2,2,3,2,3,3,3,2,5,4,6,3,1,7,0,1,1,0,0,07:09:03,429.05,7.150833333,PRB2,PRB5,PRB4,PRB6,PRB3,PRB1,PRB7,0,0,1,2
146,2023-05-10T08:25:06Z,0,10,1,0,0,0,1.733333333,1.80952381,2,3,2,2,1,1,1,2,0,1.666666667,1,2,2,2,2,2,2,2,2,1,1,3,1,3,3,NA,1,2,6,4,5,3,7,1,1,2,0,0,07:11:23,431.3833333,7.189722222,PRB1,PRB2,PRB6,PRB4,PRB5,PRB3,PRB7,0,1,1,2
78,2023-05-10T08:24:17Z,0,11,1,1,0,1,2.272222222,2.090909091,2.75,3,3,3,2,2,2,3,1,2.333333333,2,3,2,2.5,3,2,1.777777778,3,2,2,0,2,2,0,2,3,2,4,3,1,5,6,7,0,2,1,3,1,07:16:46,436.7666667,7.279444444,PRB2,PRB4,PRB3,PRB1,PRB5,PRB6,PRB7,1,0,1,1
204,2023-05-16T14:04:16Z,0,11,1,1,0,1,1.807142857,1.947368421,2.25,2,3,2,2,1.5,NA,2,1,2,1,3,2,1,1,1,2.285714286,2,2,NA,NA,3,1,3,3,2,2,5,3,6,1,4,7,0,2,NA,0,0,07:16:46,436.7666667,7.279444444,PRB2,PRB5,PRB3,PRB6,PRB1,PRB4,PRB7,1,3,1,1
157,2023-05-10T08:33:28Z,0,10,1,0,0,0,1.1,1.421052632,2.333333333,NA,3,3,1,0.5,0,NA,1,1,1,NA,1,0,0,0,1.666666667,3,1,0,2,3,3,0,3,0,6,5,7,2,1,3,4,0,1,3,3,0,07:20:31,440.5166667,7.341944444,PRB6,PRB5,PRB7,PRB2,PRB1,PRB3,PRB4,0,3,1,2
176,2023-05-10T10:03:33Z,0,9,2,0,1,2,1.3,1.5,2,2,2,2,2,0.333333333,1,0,0,1,1,2,0,1.5,1,2,1.666666667,1,3,1,1,2,1,3,2,1,3,2,6,5,7,4,1,1,0,2,0,1,07:23:02,443.0333333,7.383888889,PRB3,PRB2,PRB6,PRB5,PRB7,PRB4,PRB1,0,0,1,3
